#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_493_length_542_cov_1.848049_1  -            174 223233at2            -            494     2e-60  202.1   0.2   1   1   6.7e-63   2.3e-60  201.9   0.2     1   148     3   174     3   174 0.88 # 21 # 542 # 1 # ID=493_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.349
NODE_59_length_1247_cov_2.288591_1  -            415 223233at2            -            494   6.6e-41  137.7  11.9   1   1   4.4e-40   1.5e-37  126.7  11.9   173   414    15   331     4   412 0.67 # 2 # 1246 # 1 # ID=59_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.281
NODE_19_length_1721_cov_2.997599_1  -            191 223233at2            -            494   4.8e-34  115.1   0.0   1   1   1.8e-36     6e-34  114.8   0.0     2   162     4   187     3   190 0.82 # 2 # 574 # -1 # ID=19_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.279
NODE_846_length_398_cov_1.574344_1  -            132 223233at2            -            494   2.3e-22   76.6   1.2   1   2   6.3e-08   2.2e-05   20.6   0.0   228   250     1    23     1    31 0.88 # 1 # 396 # 1 # ID=846_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NODE_846_length_398_cov_1.574344_1  -            132 223233at2            -            494   2.3e-22   76.6   1.2   2   2   1.2e-17     4e-15   52.7   0.5   246   315    38   129    33   132 0.80 # 1 # 396 # 1 # ID=846_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NODE_1054_length_338_cov_1.272085_1 -            112 223233at2            -            494   1.3e-19   67.5   0.1   1   2     0.036        12    1.6   0.0   156   180     1    26     1    44 0.70 # 2 # 337 # -1 # ID=1054_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.351
NODE_1054_length_338_cov_1.272085_1 -            112 223233at2            -            494   1.3e-19   67.5   0.1   2   2   3.5e-21   1.2e-18   64.3   0.1   172   226    52   104    34   112 0.85 # 2 # 337 # -1 # ID=1054_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.351
NODE_1883_length_212_cov_2.006369_1 -             70 223233at2            -            494   7.9e-13   45.1   0.1   1   1   3.7e-15   1.2e-12   44.5   0.1   351   407     2    70     1    70 0.77 # 3 # 212 # -1 # ID=1883_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
NODE_654_length_464_cov_1.464548_1  -            154 223233at2            -            494   3.1e-07   26.7   2.8   1   2   1.8e-07   6.2e-05   19.1   0.8   266   349     2   110     1   113 0.66 # 3 # 464 # -1 # ID=654_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.292
NODE_654_length_464_cov_1.464548_1  -            154 223233at2            -            494   3.1e-07   26.7   2.8   2   2     0.011       3.6    3.4   0.0   349   367   135   153   131   154 0.88 # 3 # 464 # -1 # ID=654_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.292
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/databases/busco_downloads/lineages/bacteria_odb10/hmms/223233at2.hmm
# Target file:     /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/work/83/aaba4c129b9b97852fcf68831d7538/output-busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/work/83/aaba4c129b9b97852fcf68831d7538/output-busco/run_bacteria_odb10/hmmer_output/223233at2.out --cpu 1 /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/databases/busco_downloads/lineages/bacteria_odb10/hmms/223233at2.hmm /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/work/83/aaba4c129b9b97852fcf68831d7538/output-busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/jlsevigny1/nextflow-workflows/nigms-wgs/work/83/aaba4c129b9b97852fcf68831d7538
# Date:            Mon Dec 16 15:34:46 2024
# [ok]
